"movieId","tmdbId","year","imdbId","runtime","imdbRating","imdbVotes","title","url","revenue","plot","poster","released","budget"
"1","862","1995","0114709","81","8.3","591836","Toy Story","https://themoviedb.org/movie/862","373554033","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg","1995-11-22","30000000"
"2","8844","1995","0113497","104","6.9","198355","Jumanji","https://themoviedb.org/movie/8844","262797249","When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.","https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg","1995-12-15","65000000"
"3","15602","1995","0113228","101","6.6","18615","Grumpier Old Men","https://themoviedb.org/movie/15602","","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg","1995-12-22",""
"4","31357","1995","0114885","124","5.6","7210","Waiting to Exhale","https://themoviedb.org/movie/31357","81452156","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.","https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg","1995-12-22","16000000"
"5","11862","1995","0113041","106","5.9","25938","Father of the Bride Part II","https://themoviedb.org/movie/11862","76578911","In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.","https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg","1995-12-08",""
"6","949","1995","0113277","170","8.2","416316","Heat","https://themoviedb.org/movie/949","187436818","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.","https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg","1995-12-15","60000000"
"7","11860","1995","0114319","127","6.2","29091","Sabrina","https://themoviedb.org/movie/11860","53672080","An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.","https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg","1995-12-15","58000000"
"8","45325","1995","0112302","97","5.6","7224","Tom and Huck","https://themoviedb.org/movie/45325","23920048","Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.","https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg","1995-12-22",""
"9","9091","1995","0114576","111","5.7","24978","Sudden Death","https://themoviedb.org/movie/9091","64350171","A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.","https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg","1995-12-22","35000000"
"10","710","1995","0113189","130","7.2","194676","GoldenEye","https://themoviedb.org/movie/710","352194034","James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.","https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg","1995-11-17","58000000"
"11","9087","1995","0112346","114","6.8","41983","American President, The","https://themoviedb.org/movie/9087","107879496","Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.","https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg","1995-11-17","62000000"
"12","12110","1995","0112896","88","5.8","29321","Dracula: Dead and Loving It","https://themoviedb.org/movie/12110","","Mel Brooks' parody of the classic vampire story and its famous film adaptations.","https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg","1995-12-22",""
"13","21032","1995","0112453","78","7.1","29277","Balto","https://themoviedb.org/movie/21032","11348324","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg","1995-12-22",""
"14","10858","1995","0113987","192","7.1","23508","Nixon","https://themoviedb.org/movie/10858","13681765","A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.","https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg","1996-01-05","44000000"
"15","1408","1995","0112760","124","5.6","20522","Cutthroat Island","https://themoviedb.org/movie/1408","10017322","A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.","https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg","1995-12-22","98000000"
